0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
0 1 47
0 2 182
0 3 168
0 4 112
0 5 192
0 6 96
0 7 45
0 8 144
0 9 76
1 2 32
1 3 51
1 4 75
1 5 150
1 6 154
1 7 144
1 8 156
1 9 156
2 3 139
2 4 192
2 5 112
2 6 93
2 7 28
2 8 18
2 9 34
3 4 36
3 5 199
3 6 181
3 7 23
3 8 186
3 9 117
4 5 89
4 6 11
4 7 196
4 8 118
4 9 118
5 6 18
5 7 123
5 8 21
5 9 144
6 7 189
6 8 55
6 9 163
7 8 139
7 9 159
8 9 167
0 1 2 242
0 1 3 42
0 1 4 86
0 1 5 254
0 1 6 70
0 1 7 51
0 1 8 272
0 1 9 150
0 2 3 173
0 2 4 51
0 2 5 155
0 2 6 167
0 2 7 80
0 2 8 253
0 2 9 231
0 3 4 295
0 3 5 71
0 3 6 82
0 3 7 101
0 3 8 116
0 3 9 236
0 4 5 54
0 4 6 43
0 4 7 128
0 4 8 73
0 4 9 131
0 5 6 24
0 5 7 119
0 5 8 20
0 5 9 169
0 6 7 212
0 6 8 10
0 6 9 165
0 7 8 223
0 7 9 266
0 8 9 292
1 2 3 130
1 2 4 273
1 2 5 228
1 2 6 202
1 2 7 194
1 2 8 6
1 2 9 99
1 3 4 54
1 3 5 111
1 3 6 231
1 3 7 118
1 3 8 108
1 3 9 189
1 4 5 54
1 4 6 66
1 4 7 242
1 4 8 297
1 4 9 124
1 5 6 99
1 5 7 148
1 5 8 93
1 5 9 134
1 6 7 105
1 6 8 119
1 6 9 62
1 7 8 293
1 7 9 97
1 8 9 175
2 3 4 124
2 3 5 108
2 3 6 99
2 3 7 38
2 3 8 153
2 3 9 176
2 4 5 131
2 4 6 166
2 4 7 286
2 4 8 102
2 4 9 102
2 5 6 187
2 5 7 257
2 5 8 154
2 5 9 230
2 6 7 173
2 6 8 104
2 6 9 163
2 7 8 98
2 7 9 145
2 8 9 68
3 4 5 222
3 4 6 221
3 4 7 182
3 4 8 15
3 4 9 11
3 5 6 231
3 5 7 224
3 5 8 110
3 5 9 156
3 6 7 132
3 6 8 41
3 6 9 284
3 7 8 133
3 7 9 140
3 8 9 164
4 5 6 116
4 5 7 108
4 5 8 63
4 5 9 61
4 6 7 235
4 6 8 122
4 6 9 131
4 7 8 246
4 7 9 260
4 8 9 134
5 6 7 274
5 6 8 172
5 6 9 221
5 7 8 76
5 7 9 216
5 8 9 73
6 7 8 120
6 7 9 224
6 8 9 210
7 8 9 263
0 1 2 3 321
0 1 2 4 202
0 1 2 5 100
0 1 2 6 250
0 1 2 7 332
0 1 2 8 222
0 1 2 9 161
0 1 3 4 370
0 1 3 5 291
0 1 3 6 370
0 1 3 7 282
0 1 3 8 395
0 1 3 9 189
0 1 4 5 153
0 1 4 6 3
0 1 4 7 345
0 1 4 8 278
0 1 4 9 249
0 1 5 6 354
0 1 5 7 99
0 1 5 8 209
0 1 5 9 51
0 1 6 7 57
0 1 6 8 255
0 1 6 9 266
0 1 7 8 116
0 1 7 9 321
0 1 8 9 332
0 2 3 4 10
0 2 3 5 94
0 2 3 6 153
0 2 3 7 317
0 2 3 8 295
0 2 3 9 246
0 2 4 5 100
0 2 4 6 190
0 2 4 7 79
0 2 4 8 121
0 2 4 9 167
0 2 5 6 352
0 2 5 7 105
0 2 5 8 234
0 2 5 9 111
0 2 6 7 354
0 2 6 8 333
0 2 6 9 122
0 2 7 8 228
0 2 7 9 357
0 2 8 9 48
0 3 4 5 82
0 3 4 6 177
0 3 4 7 152
0 3 4 8 391
0 3 4 9 33
0 3 5 6 295
0 3 5 7 180
0 3 5 8 400
0 3 5 9 300
0 3 6 7 264
0 3 6 8 204
0 3 6 9 149
0 3 7 8 102
0 3 7 9 329
0 3 8 9 307
0 4 5 6 282
0 4 5 7 150
0 4 5 8 261
0 4 5 9 316
0 4 6 7 327
0 4 6 8 111
0 4 6 9 288
0 4 7 8 364
0 4 7 9 121
0 4 8 9 227
0 5 6 7 239
0 5 6 8 206
0 5 6 9 110
0 5 7 8 27
0 5 7 9 311
0 5 8 9 50
0 6 7 8 4
0 6 7 9 139
0 6 8 9 254
0 7 8 9 300
1 2 3 4 234
1 2 3 5 184
1 2 3 6 289
1 2 3 7 276
1 2 3 8 76
1 2 3 9 192
1 2 4 5 121
1 2 4 6 384
1 2 4 7 67
1 2 4 8 196
1 2 4 9 174
1 2 5 6 37
1 2 5 7 253
